PROC DATE,TIME,BRANCH,SUB-BRANCH,TELLER,FUNC,DESCRIPTION,TRAN AMOUNT,CONTROLLER,LUNUMBER,CLIENT CODE
20210503,822370,3286,0,6,PORB,          ,0,0,9094285,000000ADAMSR 932
20210526,1055580,2626,0,49,PORB,          ,0,0,9097241,000000ADAMSR 932
20210526,1540200,2626,0,49,PORB,          ,0,0,9097241,000000ADAMSR 932
20210602,1249290,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210510,1339090,2626,0,49,PORB,          ,0,0,9005553,000000ADAMSR 932
20210510,1326490,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210525,1653520,2626,0,23,PORB,          ,0,0,9980248,000000ADAMSR 932
20210524,1207120,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210524,1204540,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210510,1321490,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210510,1323270,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210510,1315530,4567,0,49,PORB,          ,0,0,5030402,000000ADAMSR 932
20210505,831480,8243,0,855,PORB,          ,0,0,0,000000ADSERVI070
20210504,1538000,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210525,1417170,3144,0,6,PORB,          ,0,0,9114592,000000AFONDSB002
20210525,1351240,9636,0,0,PORB,          ,0,0,9151392,000000AFONDSB002
20210524,1548490,800,0,5861,PORB,          ,0,0,0,000000AFONDSB002
20210523,1418550,8787,0,6,PORB,          ,0,0,1247763,000000AFONDSB002
20210506,2058180,162,0,39,PORB,          ,0,0,1213988,000000AFONDSB002
20210512,1548030,8114,0,0,PORB,          ,0,0,1192278,000000AFONDSB002
20210517,1141370,3294,0,40,PORB,          ,0,0,9126575,000000AFONDSB002
20210517,1217410,8114,0,39,PORB,          ,0,0,6081810,000000AFONDSB002
20210512,1549310,8114,0,0,PORB,          ,0,0,1192278,000000AFONDSB002
20210512,1548140,8114,0,0,PORB,          ,0,0,1192278,000000AFONDSB002
20210511,1106130,183,0,49,PORB,          ,0,0,5011076,000000AFONDSB002
20210517,1151530,8114,0,23,PORB,          ,0,0,1096477,000000AFONDSB002
20210517,1152270,8114,0,23,PORB,          ,0,0,1096477,000000AFONDSB002
20210507,1223580,9636,0,0,PORB,          ,0,0,9987608,000000AFONDSB002
20210601,807460,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210528,933550,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210528,1626510,162,0,39,PORB,          ,0,0,9149394,000000AFONDSB002
20210527,1807000,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210530,1936490,9636,0,23,PORB,          ,0,0,9154439,000000AFONDSB002
20210527,1814550,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210527,1124300,895,0,0,PORB,          ,0,0,1033367,000000AFONDSB002
20210531,1456420,3144,0,6,PORB,          ,0,0,9114592,000000AFONDSB002
20210527,1949020,162,0,39,PORB,          ,0,0,6085544,000000AFONDSB002
20210528,720210,6277,0,61,PORB,          ,0,0,9069553,000000AFONDSB002
20210504,1537120,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210503,1308080,8568,0,7298,PORB,          ,0,0,0,000000AFONDSB002
20210601,1404480,162,0,39,PORB,          ,0,0,9093401,000000AFONDSB002
20210504,1323550,4993,0,6,PORB,          ,0,0,4505695,000000AFONDSB002
20210602,1226290,9636,0,0,PORB,          ,0,0,9151392,000000AFONDSB002
20210601,1310150,9636,0,23,PORB,          ,0,0,9154439,000000AFONDSB002
20210531,2331520,3144,0,61,PORB,          ,0,0,9059181,000000AFONDSB002
20210504,723130,162,0,39,PORB,          ,0,0,1232239,000000AFONDSB002
20210503,1120120,9636,0,0,PORB,          ,0,0,9987608,000000ASTOCKB001
20210527,1932560,3144,0,61,PORB,          ,0,0,9059181,000000ASTOCKB001
20210602,743320,162,0,39,PORB,          ,0,0,9093401,000000ASTOCKB001
20210510,1748320,3144,0,61,PORB,          ,0,0,9059181,000000ASTOCKB001
20210517,1150,162,0,39,PORB,          ,0,0,9153516,000000ASTOCKB001
20210531,2325120,162,0,39,PORB,          ,0,0,1232239,000000ASTOCKB001
20210524,1042580,162,0,39,PORB,          ,0,0,1036693,000000ASTOCKB001
20210526,1244260,162,0,39,PORB,          ,0,0,4592879,000000ASTOCKB001
20210521,1035320,3045,0,40,PORB,          ,0,0,9121276,000000ASTOCKB001
20210519,1401240,2520,0,51,PORB,          ,0,0,3028420,000000ASTOCKB001
20210519,1303230,2567,0,51,PORB,          ,0,0,9146011,000000ASTOCKB001
20210519,1304350,2567,0,51,PORB,          ,0,0,9146011,000000ASTOCKB001
20210503,1115520,9636,0,0,PORB,          ,0,0,9987608,000000ASTOCKB001
20210506,1024250,8114,0,23,PORB,          ,0,0,1192360,000000ASTOCKB001
20210510,1102160,3803,0,0,PORB,          ,0,0,4359739,000000ASTOCKB001
20210507,1419010,162,0,39,PORB,          ,0,0,9149394,000000ASTOCKB001
20210506,832260,3144,0,6,PORB,          ,0,0,9115436,000000ASTOCKB001
20210507,1419010,162,0,39,PORB,          ,0,0,9149394,000000ASTOCKB001
20210506,1019160,8114,0,23,PORB,          ,0,0,1192360,000000ASTOCKB001
20210601,805210,9636,0,23,PORB,          ,0,0,4532820,000000ASTOCKB001
20210504,1534240,8101,0,7959,PORB,          ,0,0,0,000000CJSENIO002
20210531,1351070,0,0,0,PORB,          ,0,0,0,000000CJSENIO002
20210504,1526230,8101,0,7959,PORB,          ,0,0,0,000000CJSENIO002
20210521,1058590,5651,0,61,PORB,          ,0,0,1114261,000000CJSENIO002
20210510,1455300,8900,0,18357,PORB,          ,0,0,0,000000CLAMPCE001
20210510,1503540,8976,0,5615,PORB,          ,0,0,0,000000GABBATE001
20210602,901380,8976,0,18744,PORB,          ,0,0,0,000000GABBATE001
20210505,1412140,3294,0,40,PORB,          ,0,0,9126575,000000GABBATE001
20210504,1325020,2626,0,49,PORB,          ,0,0,9072248,000000IPHOLIN005
20210507,1245280,3294,0,40,PORB,          ,0,0,9126575,000000IPHOLIN005
20210506,957350,9109,0,61,PORB,          ,0,0,1049927,000000IPHOLIN005
20210505,1012440,3294,0,40,PORB,          ,0,0,9126575,000000IPHOLIN005
20210505,1447230,4993,0,49,PORB,          ,0,0,2402605,000000IPHOLIN005
