generation,map_index,token_ratio,explore_dist,min_fitness,max_fitness,mean_fitness,median_fitness,sd,se,var,n,ancestors
0,0,0.000000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,1,0.000000,0.500000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
0,3,0.500000,0.500000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,0,0.000000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,1,0.000000,0.500000,0,62,0.000000,55,52.252663,5.225266,2730.340811,100,12
1,2,0.500000,0.000000,0,0,0.000000,0,0.000000,0.000000,0.000000,0,0
1,3,0.500000,0.500000,0,48,0.000000,48,48.041028,6.308096,2307.940393,58,1
2,0,0.000000,0.000000,0,72,0.000000,72,69.262970,6.926297,4797.359077,100,5
2,1,0.000000,0.500000,0,62,0.000000,62,62.791845,6.279184,3942.815760,100,1
2,2,0.500000,0.000000,0,40,0.000000,40,40.776681,5.097085,1662.737735,64,1
2,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
3,0,0.000000,0.000000,0,72,0.000000,72,72.704036,7.270404,5285.876785,100,1
3,1,0.000000,0.500000,0,62,0.000000,62,62.791845,6.279184,3942.815760,100,1
3,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
3,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
4,0,0.000000,0.000000,0,72,0.000000,72,72.704036,7.270404,5285.876785,100,1
4,1,0.000000,0.500000,0,62,0.000000,62,62.791845,6.279184,3942.815760,100,1
4,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
4,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
5,0,0.000000,0.000000,0,72,0.000000,72,72.704036,7.270404,5285.876785,100,1
5,1,0.000000,0.500000,0,64,0.000000,62,63.003628,6.300363,3969.457090,100,2
5,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
5,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
6,0,0.000000,0.000000,0,72,0.000000,72,72.704036,7.270404,5285.876785,100,1
6,1,0.000000,0.500000,0,64,0.000000,64,64.878572,6.487857,4209.229060,100,1
6,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
6,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
7,0,0.000000,0.000000,0,72,0.000000,72,72.704036,7.270404,5285.876785,100,1
7,1,0.000000,0.500000,0,64,0.000000,64,64.878572,6.487857,4209.229060,100,1
7,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
7,3,0.500000,0.500000,0,48,0.000000,48,48.041028,4.804103,2307.940393,100,1
8,0,0.000000,0.000000,0,72,0.000000,72,72.704036,7.270404,5285.876785,100,1
8,1,0.000000,0.500000,0,64,0.000000,64,64.878572,6.487857,4209.229060,100,1
8,2,0.500000,0.000000,0,40,0.000000,40,40.776681,4.077668,1662.737735,100,1
