generation,resource_type,initial_x_pos, initial_y_pos, final_x_pos, final_y_pos, distance, isCollected
0,1,-6.400000, 2.000000,-6.520434, -8.529432,10.530126,1
0,1,-2.700000, 1.400000,-2.700440, 1.399990,0.009858,0
0,1,4.700000, -3.000000,4.224439, -8.592451,5.612643,1
0,1,9.000000, -0.700000,8.140028, -8.567755,7.914620,1
0,1,-5.900000, -4.300000,-6.825192, -8.528739,4.328777,1
0,1,-2.700000, 6.500000,-2.982397, -8.530429,15.033085,1
0,1,-5.000000, -2.200000,-6.151237, -8.526779,6.430675,1
0,1,1.200000, 0.500000,1.199623, 0.500017,0.009853,0
0,1,-0.900000, 8.500000,-0.900714, 8.499895,0.009873,0
0,1,0.600000, -5.900000,0.599437, -5.900015,0.009863,0
0,2,-0.400000, -2.400000,-0.417324, -2.713794,0.314425,0
0,2,3.300000, -1.400000,3.133548, -1.456933,0.176209,0
0,2,-7.800000, -4.200000,-8.332236, -5.966924,1.845369,0
0,2,1.500000, 1.300000,1.387216, 1.245980,0.125441,0
0,2,-7.300000, -0.400000,-7.299390, -0.399943,0.009953,0
0,2,-2.000000, -1.900000,-0.908275, -1.846587,1.093075,0
0,2,-7.900000, 5.300000,-9.576098, 5.096627,1.688420,0
0,2,8.800000, -4.600000,8.845867, -4.658483,0.074985,0
0,2,-8.400000, -3.100000,-8.399533, -3.099931,0.009947,0
0,2,-8.300000, 1.900000,-7.411712, 1.449503,0.996042,0
0,3,7.300000, -3.300000,7.573032, -3.245212,0.278650,0
0,3,-7.600000, 8.200000,-7.555817, 7.761512,0.440818,0
0,3,-4.600000, 6.100000,-4.598733, 9.499933,3.399946,0
0,3,6.700000, -2.200000,7.698440, -2.164395,0.999124,0
0,3,3.700000, -3.000000,3.373440, -3.299150,0.442980,0
0,3,7.500000, 0.000000,7.500272, 0.000015,0.009953,0
0,3,1.200000, -1.200000,1.135503, -0.724754,0.479704,0
0,3,4.500000, 0.800000,5.505339, 0.853215,1.006794,0
0,3,-5.000000, 3.200000,-5.012019, 3.250756,0.053085,0
0,3,-4.900000, 1.300000,-4.899715, 1.300024,0.009950,0
0,4,-3.900000, 3.300000,-3.899783, 3.299989,0.009953,0
0,4,6.700000, 1.700000,6.625487, 1.756986,0.094331,0
0,4,5.900000, -7.000000,5.558517, -6.783811,0.404286,0
0,4,2.500000, 4.700000,2.438902, 4.692443,0.062359,0
0,4,-8.600000, 0.300000,-8.774005, 0.244167,0.183014,0
0,4,8.400000, 4.100000,8.392280, 4.100435,0.012583,0
0,4,6.200000, -0.300000,6.400868, 0.431473,0.758617,0
0,4,3.700000, 5.000000,3.435954, 5.438716,0.512130,0
0,4,-0.200000, -4.100000,-0.619551, -3.728034,0.560784,0
0,4,8.900000, 1.300000,8.897738, 1.292285,0.012762,0
0,5,7.100000, 6.700000,7.100103, 6.699914,0.009953,0
0,5,9.000000, -6.200000,8.995800, -6.220235,0.022913,0
0,5,0.300000, 8.100000,0.418643, 8.146290,0.127739,0
0,5,-7.999373, -6.793292,-8.111794, -6.819108,0.115765,0
0,5,-4.600000, 0.100000,-4.623318, 0.112809,0.028398,0
0,5,-1.800000, 3.300000,-1.799955, 3.303868,0.010686,0
0,5,1.000000, 5.000000,1.023443, 5.008251,0.026767,0
0,5,-1.600000, -6.700000,-1.506763, -6.702629,0.093800,0
0,5,-0.200000, -1.200000,0.010232, -1.923965,0.753935,0
0,5,5.300000, 8.200000,5.293357, 8.321019,0.121613,0
1,1,-6.520436, -8.529373,-6.520272, -8.529141,0.000297,1
1,1,-2.700531, 1.399991,-2.700393, 1.399944,0.000145,0
1,1,4.224442, -8.592495,4.224538, -8.593145,0.000657,1
1,1,8.139966, -8.567707,8.140085, -8.567821,0.000195,1
1,1,-6.825215, -8.528717,-6.825083, -8.528406,0.000375,1
1,1,-2.982431, -8.530411,-2.982218, -8.530236,0.000298,1
1,1,-6.151252, -8.526856,-6.151582, -8.527077,0.000406,1
1,1,1.199533, 0.500016,1.199468, 0.500040,0.000069,0
1,1,-0.900714, 8.499987,-0.900660, 8.499877,0.000122,0
1,1,0.599347, -5.900015,0.599512, -5.900012,0.000165,0
1,2,-0.417364, -2.713788,-0.449605, -2.741355,0.042420,0
1,2,3.133560, -1.456899,3.158321, -1.441891,0.028954,0
1,2,-8.332157, -5.966961,-9.484899, -6.642723,1.336214,0
1,2,1.387187, 1.245964,1.227704, 1.226213,0.160701,0
1,2,-7.299442, -0.399942,-7.243050, -0.396820,0.056479,0
1,2,-0.908277, -1.846594,-0.937411, -1.842139,0.029472,0
1,2,-9.576035, 5.096653,-9.563116, 4.891763,0.205297,0
1,2,8.845857, -4.658432,8.845895, -4.658462,0.000049,0
1,2,-8.399481, -3.099932,-8.399571, -3.099952,0.000093,0
1,2,-7.411718, 1.449491,-7.168191, 1.347672,0.263955,0
1,3,7.573009, -3.245200,7.571456, -3.251801,0.006781,0
1,3,-7.555787, 7.761516,-7.517228, 7.617067,0.149507,0
1,3,-4.598755, 9.499922,-4.842928, 9.499985,0.244174,0
1,3,7.698440, -2.164424,9.293537, -2.208997,1.595720,0
1,3,3.373426, -3.299123,3.378805, -3.295020,0.006765,0
1,3,7.500236, 0.000015,7.500334, -0.000002,0.000100,0
1,3,1.135501, -0.724732,1.136884, -0.724789,0.001385,0
1,3,5.505386, 0.853270,5.707731, 0.934007,0.217858,0
1,3,-5.012017, 3.250610,-5.012902, 3.201387,0.049231,0
1,3,-4.899749, 1.300024,-4.899679, 1.300026,0.000071,0
1,4,-3.899811, 3.299990,-3.899674, 3.299954,0.000142,0
1,4,6.625486, 1.757008,5.747195, 2.261257,1.012750,0
1,4,5.558524, -6.783790,5.337764, -6.634847,0.266306,0
1,4,2.438926, 4.692447,2.429734, 4.695330,0.009633,0
1,4,-8.774036, 0.244166,-8.775210, 0.244349,0.001188,0
1,4,8.392302, 4.100436,8.392368, 4.101036,0.000604,0
1,4,6.400907, 0.431513,6.569358, 0.664595,0.287582,0
1,4,3.435994, 5.438974,3.106450, 6.233984,0.860604,0
1,4,-0.619694, -3.727911,-1.915724, -2.504091,1.782535,0
1,4,8.897737, 1.292306,8.895792, 1.292047,0.001962,0
1,5,7.100103, 6.699937,7.098524, 6.701490,0.002215,0
1,5,8.995780, -6.220236,8.993657, -6.169145,0.051135,0
1,5,0.418644, 8.146317,0.567151, 8.285636,0.203627,0
1,5,-8.111818, -6.819093,-8.438298, -7.064451,0.408399,0
1,5,-4.623327, 0.112833,-4.737200, 0.124508,0.114470,0
1,5,-1.799930, 3.303869,-1.852942, 3.370848,0.085419,0
